Kind,Name,CountClassCoupled,CountDeclMethod,PercentLackOfCohesion
Abstract Class,org.apache.xerces.impl.xs.traversers.XSDAbstractParticleTraverser,19,6,66
Abstract Class,org.apache.xerces.impl.xs.traversers.XSDAbstractTraverser,42,10,86
Abstract Class,org.apache.xerces.util.AugmentationsImpl.AugmentationsItemsContainer,1,7,0
Class,dom.traversal.IteratorView.Errors,9,7,42
Class,dom.traversal.IteratorView.IteratorView.(Anon_2),6,1,0
Class,dom.traversal.IteratorView.IteratorView.(Anon_3),1,1,0
Class,dom.traversal.IteratorView.IteratorView.(Anon_4),1,1,0
Class,dom.traversal.IteratorView.main.(Anon_1),2,1,0
Class,dom.traversal.TreeWalkerView.Errors,9,7,42
Class,dom.traversal.TreeWalkerView.TreeWalkerView.(Anon_2),6,1,0
Class,dom.traversal.TreeWalkerView.TreeWalkerView.(Anon_3),1,1,0
Class,dom.traversal.TreeWalkerView.TreeWalkerView.(Anon_4),1,1,0
Class,dom.traversal.TreeWalkerView.main.(Anon_1),2,1,0
Class,org.apache.html.dom.CollectionIndex,0,4,0
Class,org.apache.html.dom.HTMLCollectionImpl,18,9,84
Class,org.apache.xerces.dom.CharacterDataImpl.(Anon_1),1,2,0
Class,org.apache.xerces.dom.CoreDocumentImpl.UserDataRecord,1,1,0
Class,org.apache.xerces.dom.DeferredDocumentImpl.RefCount,0,0,0
Class,org.apache.xerces.dom.DocumentImpl.EnclosingAttr,2,0,0
Class,org.apache.xerces.dom.DocumentImpl.LEntry,2,1,0
Class,org.apache.xerces.dom.LCount,2,1,75
Class,org.apache.xerces.dom.NodeListCache,2,1,80
Class,org.apache.xerces.dom.ParentNode.getChildNodesUnoptimized.(Anon_1),2,2,0
Class,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl.(Anon_1),1,11,0
Class,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl.(Anon_2),1,11,0
Class,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl.ValidationContextImpl,2,13,50
