Kind,Name,CountClassCoupled,CountDeclMethod,PercentLackOfCohesion
Public Class,org.apache.xerces.dom.CoreDocumentImpl,58,125,97
Public Class,org.apache.xerces.xinclude.XIncludeHandler,56,112,96
Public Class,xni.PSVIWriter,56,109,97
Public Class,org.apache.xerces.impl.dtd.DTDGrammar,36,102,96
Public Class,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,63,85,95
Public Abstract Class,org.apache.xerces.dom.NodeImpl,21,84,97
Public Class,org.apache.xerces.dom.DeferredDocumentImpl,28,79,88
Class,org.apache.xerces.jaxp.datatype.XMLGregorianCalendarImpl,23,68,95
Public Abstract Class,org.apache.xml.serialize.BaseMarkupSerializer,41,62,92
Public Class,xni.DocumentTracer,24,61,90
Public Class,org.apache.xerces.impl.xs.XMLSchemaValidator,82,59,95
Public Class,org.apache.xerces.util.URI,5,58,93
Public Class,org.apache.xerces.dom.RangeImpl,15,55,78
Class,org.apache.xerces.jaxp.validation.ValidatorHandlerImpl,61,54,94
Public Class,org.apache.xerces.impl.dtd.XMLDTDProcessor,31,53,93
Public Abstract Class,org.apache.xerces.parsers.AbstractSAXParser,48,52,94
Public Class,org.apache.xerces.impl.xpath.regex.RegularExpression,22,52,92
Public Class,org.apache.xerces.impl.xs.opti.DefaultXMLDocumentHandler,12,52,96
Class,org.apache.xerces.impl.xpath.regex.Token,17,51,95
Public Abstract Class,org.apache.xerces.parsers.AbstractXMLDocumentParser,13,51,95
Public Class,org.apache.xerces.impl.xs.SchemaGrammar,45,50,96
Public Class,org.apache.xerces.util.DOMUtil,20,50,0
Public Class,org.apache.xml.serialize.OutputFormat,13,50,95
Class,org.apache.xerces.impl.xpath.regex.RegexParser,14,49,92
Private Class,org.apache.xerces.parsers.DOMParserImpl.AbortHandler,13,49,95
Public Class,org.apache.xerces.impl.dtd.XMLDTDValidator,46,49,93
Class,org.apache.xerces.jaxp.datatype.DurationImpl,22,48,87
Public Class,org.apache.xerces.util.XMLAttributesImpl,5,47,81
