Kind,Name,CountClassBase,CountClassCoupled,CountDeclMethod,PercentLackOfCohesion
Public Class,org.apache.html.dom.HTMLModElementImpl,2,2,5,100
Public Class,org.apache.html.dom.HTMLOListElementImpl,2,2,7,100
Public Class,org.apache.html.dom.HTMLObjectElementImpl,3,4,35,100
Public Class,org.apache.html.dom.HTMLOptGroupElementImpl,2,2,5,100
Public Class,org.apache.html.dom.HTMLOptionElementImpl,2,7,15,100
Public Class,org.apache.html.dom.HTMLParagraphElementImpl,2,2,3,100
Public Class,org.apache.html.dom.HTMLParamElementImpl,2,2,9,100
Public Class,org.apache.html.dom.HTMLPreElementImpl,2,2,3,100
Public Class,org.apache.html.dom.HTMLQuoteElementImpl,2,2,3,100
Public Class,org.apache.html.dom.HTMLScriptElementImpl,2,6,15,100
Public Class,org.apache.html.dom.HTMLSelectElementImpl,3,6,24,95
Public Class,org.apache.html.dom.HTMLStyleElementImpl,2,2,7,100
Public Class,org.apache.html.dom.HTMLTableCaptionElementImpl,2,2,3,100
Public Class,org.apache.html.dom.HTMLTableCellElementImpl,2,3,31,100
Public Class,org.apache.html.dom.HTMLTableColElementImpl,2,2,13,100
Public Class,org.apache.html.dom.HTMLTableElementImpl,2,11,37,96
Public Class,org.apache.html.dom.HTMLTableRowElementImpl,2,10,21,95
Public Class,org.apache.html.dom.HTMLTableSectionElementImpl,2,6,15,93
Public Class,org.apache.html.dom.HTMLTextAreaElementImpl,3,2,23,100
Public Class,org.apache.html.dom.HTMLTitleElementImpl,2,6,3,100
Public Class,org.apache.html.dom.HTMLUListElementImpl,2,2,5,100
Public Class,org.apache.html.dom.NameNodeListImpl,2,4,2,0
Public Class,org.apache.wml.dom.WMLAElementImpl,2,2,11,100
Public Class,org.apache.wml.dom.WMLAccessElementImpl,2,2,9,100
Public Class,org.apache.wml.dom.WMLAnchorElementImpl,2,2,9,100
Public Class,org.apache.wml.dom.WMLBElementImpl,2,2,7,100
Public Class,org.apache.wml.dom.WMLBigElementImpl,2,2,7,100
Public Class,org.apache.wml.dom.WMLBrElementImpl,2,2,7,100
Public Class,org.apache.wml.dom.WMLCardElementImpl,2,2,19,100
Public Class,org.apache.wml.dom.WMLDOMImplementationImpl,2,9,2,50
Public Class,org.apache.wml.dom.WMLDoElementImpl,2,2,15,100
Public Class,org.apache.wml.dom.WMLDocumentImpl,2,49,2,66
Public Class,org.apache.wml.dom.WMLElementImpl,2,3,11,100
Public Class,org.apache.wml.dom.WMLEmElementImpl,2,2,7,100
Public Class,org.apache.wml.dom.WMLFieldsetElementImpl,2,2,9,100
Public Class,org.apache.wml.dom.WMLGoElementImpl,2,2,13,100
Public Class,org.apache.wml.dom.WMLHeadElementImpl,2,2,5,100
Public Class,org.apache.wml.dom.WMLIElementImpl,2,2,7,100
Public Class,org.apache.wml.dom.WMLImgElementImpl,2,2,23,100
Public Class,org.apache.wml.dom.WMLInputElementImpl,2,2,25,100
Public Class,org.apache.wml.dom.WMLMetaElementImpl,2,2,15,100
Public Class,org.apache.wml.dom.WMLNoopElementImpl,2,2,5,100
Public Class,org.apache.wml.dom.WMLOneventElementImpl,2,2,7,100
Public Class,org.apache.wml.dom.WMLOptgroupElementImpl,2,2,9,100
Public Class,org.apache.wml.dom.WMLOptionElementImpl,2,2,13,100
Public Class,org.apache.wml.dom.WMLPElementImpl,2,2,11,100
Public Class,org.apache.wml.dom.WMLPostfieldElementImpl,2,2,9,100
Public Class,org.apache.wml.dom.WMLPrevElementImpl,2,2,5,100
Public Class,org.apache.wml.dom.WMLRefreshElementImpl,2,2,5,100
Public Class,org.apache.wml.dom.WMLSelectElementImpl,2,2,21,100
Public Class,org.apache.wml.dom.WMLSetvarElementImpl,2,2,9,100
Public Class,org.apache.wml.dom.WMLSmallElementImpl,2,2,7,100
Public Class,org.apache.wml.dom.WMLStrongElementImpl,2,2,7,100
Public Class,org.apache.wml.dom.WMLTableElementImpl,2,2,13,100
Public Class,org.apache.wml.dom.WMLTdElementImpl,2,2,7,100
Public Class,org.apache.wml.dom.WMLTemplateElementImpl,2,2,11,100
Public Class,org.apache.wml.dom.WMLTimerElementImpl,2,2,9,100
Public Class,org.apache.wml.dom.WMLTrElementImpl,2,2,5,100
Public Class,org.apache.wml.dom.WMLUElementImpl,2,2,7,100
Public Class,org.apache.wml.dom.WMLWmlElementImpl,2,2,7,100
Public Class,org.apache.xerces.dom.ASDOMImplementationImpl,2,8,4,75
Public Class,org.apache.xerces.dom.ASModelImpl,2,13,40,91
Public Class,org.apache.xerces.dom.AttrImpl,3,16,46,91
Public Class,org.apache.xerces.dom.AttrNSImpl,1,7,14,82
Public Class,org.apache.xerces.dom.AttributeMap,1,10,16,100
Public Class,org.apache.xerces.dom.CDATASectionImpl,2,2,3,100
Public Class,org.apache.xerces.dom.CommentImpl,3,2,3,100
Public Class,org.apache.xerces.dom.CoreDOMImplementationImpl,3,29,16,89
Public Class,org.apache.xerces.dom.CoreDocumentImpl,2,58,125,97
Public Class,org.apache.xerces.dom.DOMConfigurationImpl,3,35,28,93
Public Class,org.apache.xerces.dom.DOMErrorImpl,2,5,10,81
Public Class,org.apache.xerces.dom.DOMImplementationImpl,2,10,3,66
Public Class,org.apache.xerces.dom.DOMImplementationListImpl,2,3,4,0
Public Class,org.apache.xerces.dom.DOMImplementationSourceImpl,2,8,3,0
Public Class,org.apache.xerces.dom.DOMInputImpl,2,3,21,79
Public Class,org.apache.xerces.dom.DOMLocatorImpl,2,2,11,63
Public Class,org.apache.xerces.dom.DOMMessageFormatter,1,8,5,65
Public Class,org.apache.xerces.dom.DOMNormalizer,2,67,32,92
Public Class,org.apache.xerces.dom.DOMOutputImpl,2,3,9,77
Public Class,org.apache.xerces.dom.DOMStringListImpl,2,3,6,0
Public Class,org.apache.xerces.dom.DOMXSImplementationSourceImpl,1,7,2,0
Public Class,org.apache.xerces.dom.DeepNodeListImpl,2,6,5,56
Public Class,org.apache.xerces.dom.DeferredAttrImpl,2,1,4,50
Public Class,org.apache.xerces.dom.DeferredAttrNSImpl,2,2,4,50
Public Class,org.apache.xerces.dom.DeferredCDATASectionImpl,2,1,3,50
Public Class,org.apache.xerces.dom.DeferredCommentImpl,2,1,3,50
Public Class,org.apache.xerces.dom.DeferredDOMImplementationImpl,1,0,1,0
Public Class,org.apache.xerces.dom.DeferredDocumentImpl,2,28,79,88
Public Class,org.apache.xerces.dom.DeferredDocumentTypeImpl,2,7,4,50
Public Class,org.apache.xerces.dom.DeferredElementDefinitionImpl,2,4,4,50
Public Class,org.apache.xerces.dom.DeferredElementImpl,2,3,4,50
Public Class,org.apache.xerces.dom.DeferredElementNSImpl,2,6,4,50
Public Class,org.apache.xerces.dom.DeferredEntityImpl,2,1,4,50
Public Class,org.apache.xerces.dom.DeferredEntityReferenceImpl,2,1,4,50
Public Class,org.apache.xerces.dom.DeferredNotationImpl,2,1,3,50
Public Class,org.apache.xerces.dom.DeferredProcessingInstructionImpl,2,1,3,50
Public Class,org.apache.xerces.dom.DeferredTextImpl,2,1,3,50
Public Class,org.apache.xerces.dom.DocumentFragmentImpl,2,4,5,100
Public Class,org.apache.xerces.dom.DocumentImpl,4,31,46,87
Public Class,org.apache.xerces.dom.DocumentTypeImpl,2,9,22,86
Public Class,org.apache.xerces.dom.ElementDefinitionImpl,1,4,5,66
Public Class,org.apache.xerces.dom.ElementImpl,3,18,43,79
Public Class,org.apache.xerces.dom.ElementNSImpl,1,14,16,81
Public Class,org.apache.xerces.dom.EntityImpl,2,2,18,90
Public Class,org.apache.xerces.dom.EntityReferenceImpl,2,9,9,85
Public Class,org.apache.xerces.dom.NamedNodeMapImpl,3,7,29,83
Public Class,org.apache.xerces.dom.NodeIteratorImpl,2,5,13,71
Public Class,org.apache.xerces.dom.NotationImpl,2,6,9,82
Public Class,org.apache.xerces.dom.PSVIAttrNSImpl,2,14,18,89
Public Class,org.apache.xerces.dom.PSVIDOMImplementationImpl,1,11,3,66
Public Class,org.apache.xerces.dom.PSVIDocumentImpl,1,17,11,100
Public Class,org.apache.xerces.dom.PSVIElementNSImpl,2,16,21,90
Public Class,org.apache.xerces.dom.ProcessingInstructionImpl,2,2,7,78
Public Class,org.apache.xerces.dom.RangeExceptionImpl,1,1,1,100
Public Class,org.apache.xerces.dom.RangeImpl,2,15,55,78
Public Class,org.apache.xerces.dom.TextImpl,3,6,19,100
Public Class,org.apache.xerces.dom.TreeWalkerImpl,2,8,25,81
Public Class,org.apache.xerces.dom.events.EventImpl,2,3,10,87
Public Class,org.apache.xerces.dom.events.MutationEventImpl,2,2,6,86
Public Class,org.apache.xerces.dom3.as.DOMASException,1,1,1,80
Public Class,org.apache.xerces.impl.Constants,1,5,7,98
Public Class,org.apache.xerces.impl.Version,1,3,2,50
Public Class,org.apache.xerces.impl.XML11DTDScannerImpl,1,12,14,92
Public Class,org.apache.xerces.impl.XML11DocumentScannerImpl,1,15,15,90
Public Class,org.apache.xerces.impl.XML11EntityScanner,1,12,13,0
Public Class,org.apache.xerces.impl.XML11NSDocumentScannerImpl,1,21,8,65
Public Class,org.apache.xerces.impl.XML11NamespaceBinder,1,1,2,0
Public Class,org.apache.xerces.impl.XMLDTDScannerImpl,4,25,43,90
Public Class,org.apache.xerces.impl.XMLDocumentFragmentScannerImpl,4,33,33,92
Public Class,org.apache.xerces.impl.XMLDocumentScannerImpl,1,29,14,91
Public Class,org.apache.xerces.impl.XMLEntityManager,3,65,45,95
Public Class,org.apache.xerces.impl.XMLEntityManager.ScannedEntity,1,11,14,88
Public Class,org.apache.xerces.impl.XMLEntityScanner,2,18,30,74
Public Class,org.apache.xerces.impl.XMLErrorReporter,2,15,19,90
Public Class,org.apache.xerces.impl.XMLNSDocumentScannerImpl,1,21,8,65
Public Class,org.apache.xerces.impl.XMLNamespaceBinder,3,17,33,87
Public Class,org.apache.xerces.impl.XMLVersionDetector,1,15,4,61
Public Class,org.apache.xerces.impl.dtd.DTDGrammar,5,36,102,96
Public Class,org.apache.xerces.impl.dtd.DTDGrammarBucket,1,4,8,58
Public Class,org.apache.xerces.impl.dtd.XML11DTDProcessor,1,10,8,0
Public Class,org.apache.xerces.impl.dtd.XML11DTDValidator,1,7,3,66
Public Class,org.apache.xerces.impl.dtd.XML11NSDTDValidator,1,10,2,50
Public Class,org.apache.xerces.impl.dtd.XMLAttributeDecl,1,2,2,0
Public Class,org.apache.xerces.impl.dtd.XMLContentSpec,1,1,10,91
Public Class,org.apache.xerces.impl.dtd.XMLDTDDescription,2,3,9,33
Public Class,org.apache.xerces.impl.dtd.XMLDTDLoader,2,27,21,84
Public Class,org.apache.xerces.impl.dtd.XMLDTDProcessor,4,31,53,93
Public Class,org.apache.xerces.impl.dtd.XMLDTDValidator,5,46,49,93
Public Class,org.apache.xerces.impl.dtd.XMLElementDecl,1,3,2,50
Public Class,org.apache.xerces.impl.dtd.XMLEntityDecl,1,1,3,33
Public Class,org.apache.xerces.impl.dtd.XMLNSDTDValidator,1,10,2,50
Public Class,org.apache.xerces.impl.dtd.XMLNotationDecl,1,1,2,0
Public Class,org.apache.xerces.impl.dtd.XMLSimpleType,1,3,3,60
Public Class,org.apache.xerces.impl.dtd.models.CMAny,1,4,9,55
Public Class,org.apache.xerces.impl.dtd.models.CMBinOp,1,3,6,16
Public Class,org.apache.xerces.impl.dtd.models.CMLeaf,1,6,9,38
Public Class,org.apache.xerces.impl.dtd.models.CMStateSet,1,3,12,21
Public Class,org.apache.xerces.impl.dtd.models.CMUniOp,1,3,5,0
Public Class,org.apache.xerces.impl.dtd.models.DFAContentModel,2,14,7,73
Public Class,org.apache.xerces.impl.dtd.models.MixedContentModel,2,3,2,0
Public Class,org.apache.xerces.impl.dtd.models.SimpleContentModel,2,3,2,40
Public Class,org.apache.xerces.impl.dv.DVFactoryException,1,1,2,100
Public Class,org.apache.xerces.impl.dv.DatatypeException,1,5,4,50
Public Class,org.apache.xerces.impl.dv.InvalidDatatypeFacetException,1,1,1,100
Public Class,org.apache.xerces.impl.dv.InvalidDatatypeValueException,1,1,1,100
Public Class,org.apache.xerces.impl.dv.ValidatedInfo,1,4,4,66
Public Class,org.apache.xerces.impl.dv.XSFacets,1,5,1,52
Public Class,org.apache.xerces.impl.dv.dtd.DTDDVFactoryImpl,1,10,3,0
Public Class,org.apache.xerces.impl.dv.dtd.ENTITYDatatypeValidator,2,3,2,0
Public Class,org.apache.xerces.impl.dv.dtd.IDDatatypeValidator,2,4,2,0
Public Class,org.apache.xerces.impl.dv.dtd.IDREFDatatypeValidator,2,4,2,0
Public Class,org.apache.xerces.impl.dv.dtd.ListDatatypeValidator,2,4,2,0
Public Class,org.apache.xerces.impl.dv.dtd.NMTOKENDatatypeValidator,2,4,2,0
Public Class,org.apache.xerces.impl.dv.dtd.NOTATIONDatatypeValidator,2,3,2,0
Public Class,org.apache.xerces.impl.dv.dtd.StringDatatypeValidator,2,3,2,0
Public Class,org.apache.xerces.impl.dv.dtd.XML11DTDDVFactoryImpl,1,8,2,50
Public Class,org.apache.xerces.impl.dv.dtd.XML11IDDatatypeValidator,1,4,2,0
Public Class,org.apache.xerces.impl.dv.dtd.XML11IDREFDatatypeValidator,1,4,2,0
Public Class,org.apache.xerces.impl.dv.dtd.XML11NMTOKENDatatypeValidator,1,4,2,0
Public Class,org.apache.xerces.impl.dv.util.Base64,1,3,7,85
Public Class,org.apache.xerces.impl.dv.util.ByteListImpl,2,2,4,50
Public Class,org.apache.xerces.impl.dv.util.HexBin,1,1,2,62
Public Class,org.apache.xerces.impl.dv.xs.AnySimpleDV,1,3,2,0
Public Class,org.apache.xerces.impl.dv.xs.AnyURIDV,1,9,3,81
Public Class,org.apache.xerces.impl.dv.xs.Base64BinaryDV,1,8,3,0
Public Class,org.apache.xerces.impl.dv.xs.BaseDVFactory,1,9,6,75
Public Class,org.apache.xerces.impl.dv.xs.BooleanDV,1,6,2,50
Public Class,org.apache.xerces.impl.dv.xs.DateDV,1,10,4,0
Public Class,org.apache.xerces.impl.dv.xs.DateTimeDV,1,11,3,0
Public Class,org.apache.xerces.impl.dv.xs.DayDV,1,10,4,75
Public Class,org.apache.xerces.impl.dv.xs.DecimalDV,1,7,5,0
Public Class,org.apache.xerces.impl.dv.xs.DoubleDV,1,7,5,0
Public Class,org.apache.xerces.impl.dv.xs.DurationDV,1,15,8,87
Public Class,org.apache.xerces.impl.dv.xs.EntityDV,1,6,3,0
Public Class,org.apache.xerces.impl.dv.xs.FloatDV,1,7,4,0
Public Class,org.apache.xerces.impl.dv.xs.FullDVFactory,1,7,3,50
Public Class,org.apache.xerces.impl.dv.xs.HexBinaryDV,1,8,3,0
Public Class,org.apache.xerces.impl.dv.xs.IDDV,1,6,3,0
Public Class,org.apache.xerces.impl.dv.xs.IDREFDV,1,6,3,0
Public Class,org.apache.xerces.impl.dv.xs.IntegerDV,1,5,1,0
Public Class,org.apache.xerces.impl.dv.xs.ListDV,1,6,3,0
Public Class,org.apache.xerces.impl.dv.xs.MonthDV,1,10,4,0
Public Class,org.apache.xerces.impl.dv.xs.MonthDayDV,1,10,4,75
Public Class,org.apache.xerces.impl.dv.xs.QNameDV,1,8,3,66
Public Class,org.apache.xerces.impl.dv.xs.SchemaDVFactoryImpl,1,11,7,61
Public Class,org.apache.xerces.impl.dv.xs.SchemaDateTimeException,1,1,2,100
Public Class,org.apache.xerces.impl.dv.xs.StringDV,1,5,2,0
Public Class,org.apache.xerces.impl.dv.xs.TimeDV,1,11,4,0
Public Class,org.apache.xerces.impl.dv.xs.UnionDV,1,5,2,0
Public Class,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,3,63,85,94
Public Class,org.apache.xerces.impl.dv.xs.YearDV,1,10,4,0
Public Class,org.apache.xerces.impl.dv.xs.YearMonthDV,1,10,4,0
Public Class,org.apache.xerces.impl.io.ASCIIReader,1,7,11,69
Public Class,org.apache.xerces.impl.io.Latin1Reader,1,2,11,66
Public Class,org.apache.xerces.impl.io.MalformedByteSequenceException,1,3,5,62
Public Class,org.apache.xerces.impl.io.UCSReader,1,4,11,78
Public Class,org.apache.xerces.impl.io.UTF8Reader,1,9,15,76
Public Class,org.apache.xerces.impl.msg.XMLMessageFormatter,2,8,1,50
Public Class,org.apache.xerces.impl.validation.ConfigurableValidationState,1,1,9,44
Public Class,org.apache.xerces.impl.validation.ValidationManager,1,3,7,57
Public Class,org.apache.xerces.impl.validation.ValidationState,2,6,21,84
Public Class,org.apache.xerces.impl.xpath.XPath,1,20,9,81
Public Class,org.apache.xerces.impl.xpath.XPathException,1,1,3,50
Public Class,org.apache.xerces.impl.xpath.regex.BMPattern,1,3,8,25
Public Class,org.apache.xerces.impl.xpath.regex.Match,2,5,12,61
Public Class,org.apache.xerces.impl.xpath.regex.ParseException,1,1,2,50
Public Class,org.apache.xerces.impl.xpath.regex.REUtil,1,11,16,93
Public Class,org.apache.xerces.impl.xpath.regex.RegularExpression,2,22,52,92
Public Class,org.apache.xerces.impl.xs.AttributePSVImpl,2,8,14,85
Public Class,org.apache.xerces.impl.xs.ElementPSVImpl,2,12,17,88
Public Class,org.apache.xerces.impl.xs.SchemaGrammar,3,45,50,96
Public Class,org.apache.xerces.impl.xs.SchemaNamespaceSupport,1,8,6,50
Public Class,org.apache.xerces.impl.xs.SchemaSymbols,1,1,0,0
Public Class,org.apache.xerces.impl.xs.SubstitutionGroupHandler,1,11,9,80
Public Class,org.apache.xerces.impl.xs.XMLSchemaException,1,1,3,55
Public Class,org.apache.xerces.impl.xs.XMLSchemaLoader,5,69,40,91
Public Class,org.apache.xerces.impl.xs.XMLSchemaValidator,5,82,59,95
Public Class,org.apache.xerces.impl.xs.XSAnnotationImpl,2,17,9,61
Public Class,org.apache.xerces.impl.xs.XSAttributeDecl,2,12,17,85
Public Class,org.apache.xerces.impl.xs.XSAttributeGroupDecl,2,18,14,80
Public Class,org.apache.xerces.impl.xs.XSAttributeUseImpl,2,10,13,80
Public Class,org.apache.xerces.impl.xs.XSComplexTypeDecl,3,18,43,91
Public Class,org.apache.xerces.impl.xs.XSConstraints,1,31,30,96
Public Class,org.apache.xerces.impl.xs.XSDDescription,2,4,18,89
Public Class,org.apache.xerces.impl.xs.XSDeclarationPool,1,8,22,87
Public Class,org.apache.xerces.impl.xs.XSElementDecl,2,17,34,92
Public Class,org.apache.xerces.impl.xs.XSGrammarBucket,1,5,5,19
Public Class,org.apache.xerces.impl.xs.XSGroupDecl,2,8,7,82
Public Class,org.apache.xerces.impl.xs.XSImplementationImpl,2,7,4,75
Public Class,org.apache.xerces.impl.xs.XSLoaderImpl,3,14,10,30
Public Class,org.apache.xerces.impl.xs.XSMessageFormatter,2,7,1,33
Public Class,org.apache.xerces.impl.xs.XSModelGroupImpl,2,9,17,75
Public Class,org.apache.xerces.impl.xs.XSModelImpl,2,27,16,78
Public Class,org.apache.xerces.impl.xs.XSNotationDecl,2,6,8,85
Public Class,org.apache.xerces.impl.xs.XSParticleDecl,2,9,17,80
Public Class,org.apache.xerces.impl.xs.XSWildcardDecl,2,12,21,80
Public Class,org.apache.xerces.impl.xs.identity.Field,1,8,5,40
Public Class,org.apache.xerces.impl.xs.identity.KeyRef,1,2,3,0
Public Class,org.apache.xerces.impl.xs.identity.Selector,1,7,5,60
Public Class,org.apache.xerces.impl.xs.identity.Selector.Matcher,1,9,6,45
Public Class,org.apache.xerces.impl.xs.identity.UniqueOrKey,1,1,1,0
Public Class,org.apache.xerces.impl.xs.identity.XPathMatcher,1,18,9,72
Public Class,org.apache.xerces.impl.xs.models.CMBuilder,1,16,9,68
Public Class,org.apache.xerces.impl.xs.models.CMNodeFactory,1,14,8,75
Public Class,org.apache.xerces.impl.xs.models.XSAllCM,2,6,8,57
Public Class,org.apache.xerces.impl.xs.models.XSCMBinOp,1,3,6,16
Public Class,org.apache.xerces.impl.xs.models.XSCMLeaf,1,4,9,55
Public Class,org.apache.xerces.impl.xs.models.XSCMUniOp,1,3,5,0
Public Class,org.apache.xerces.impl.xs.models.XSDFACM,2,20,13,80
Public Class,org.apache.xerces.impl.xs.models.XSEmptyCM,2,4,5,80
Public Class,org.apache.xerces.impl.xs.opti.AttrImpl,2,4,9,72
Public Class,org.apache.xerces.impl.xs.opti.DefaultDocument,2,14,32,93
Public Class,org.apache.xerces.impl.xs.opti.DefaultElement,2,5,22,0
Public Class,org.apache.xerces.impl.xs.opti.DefaultNode,2,6,38,0
Public Class,org.apache.xerces.impl.xs.opti.DefaultText,2,2,12,0
Public Class,org.apache.xerces.impl.xs.opti.DefaultXMLDocumentHandler,4,12,52,96
Public Class,org.apache.xerces.impl.xs.opti.ElementImpl,1,6,26,84
Public Class,org.apache.xerces.impl.xs.opti.NamedNodeMapImpl,2,4,9,44
Public Class,org.apache.xerces.impl.xs.opti.NodeImpl,1,1,9,77
Public Class,org.apache.xerces.impl.xs.opti.SchemaDOM,1,16,26,85
Public Class,org.apache.xerces.impl.xs.opti.SchemaDOMParser,1,24,23,81
Public Class,org.apache.xerces.impl.xs.opti.SchemaParsingConfig,2,32,15,92
Public Class,org.apache.xerces.impl.xs.opti.TextImpl,1,4,7,46
Public Class,org.apache.xerces.impl.xs.traversers.XSAttributeChecker,1,35,11,95
Public Class,org.apache.xerces.impl.xs.traversers.XSDHandler,1,77,43,94
Public Class,org.apache.xerces.impl.xs.util.NSItemListImpl,2,2,4,33
Public Class,org.apache.xerces.impl.xs.util.ShortListImpl,2,1,5,40
Public Class,org.apache.xerces.impl.xs.util.SimpleLocator,2,1,21,80
Public Class,org.apache.xerces.impl.xs.util.StringListImpl,2,2,5,44
Public Class,org.apache.xerces.impl.xs.util.XInt,1,2,5,0
Public Class,org.apache.xerces.impl.xs.util.XIntPool,1,1,1,50
Public Class,org.apache.xerces.impl.xs.util.XSGrammarPool,1,7,1,0
Public Class,org.apache.xerces.impl.xs.util.XSNamedMap4Types,1,4,5,19
Public Class,org.apache.xerces.impl.xs.util.XSNamedMapImpl,2,4,7,53
Public Class,org.apache.xerces.impl.xs.util.XSObjectListImpl,2,2,7,53
Public Class,org.apache.xerces.jaxp.DocumentBuilderFactoryImpl,1,18,9,70
Public Class,org.apache.xerces.jaxp.DocumentBuilderImpl,2,41,16,85
Public Class,org.apache.xerces.jaxp.SAXParserFactoryImpl,1,14,8,71
Public Class,org.apache.xerces.jaxp.SAXParserImpl,3,41,17,86
Public Class,org.apache.xerces.jaxp.datatype.DatatypeFactoryImpl,1,8,8,0
Public Class,org.apache.xerces.jaxp.validation.XMLSchemaFactory,1,48,13,75
Public Class,org.apache.xerces.parsers.AbstractDOMParser,1,67,46,87
Public Class,org.apache.xerces.parsers.CachingParserPool,1,9,7,69
Public Class,org.apache.xerces.parsers.DOMASBuilderImpl,2,21,13,92
Public Class,org.apache.xerces.parsers.DOMParser,1,29,15,89
Public Class,org.apache.xerces.parsers.DOMParserImpl,3,40,21,89
Public Class,org.apache.xerces.parsers.DTDConfiguration,2,33,23,94
Public Class,org.apache.xerces.parsers.IntegratedParserConfiguration,1,16,7,71
Public Class,org.apache.xerces.parsers.NonValidatingConfiguration,2,29,22,95
Public Class,org.apache.xerces.parsers.SAXParser,1,6,4,75
Public Class,org.apache.xerces.parsers.SecurityConfiguration,1,5,4,75
Public Class,org.apache.xerces.parsers.StandardParserConfiguration,1,10,7,84
Public Class,org.apache.xerces.parsers.XIncludeAwareParserConfiguration,1,18,8,71
Public Class,org.apache.xerces.parsers.XIncludeParserConfiguration,1,16,7,78
Public Class,org.apache.xerces.parsers.XML11Configuration,3,49,36,95
Public Class,org.apache.xerces.parsers.XML11DTDConfiguration,3,47,35,94
Public Class,org.apache.xerces.parsers.XML11NonValidatingConfiguration,3,41,35,94
Public Class,org.apache.xerces.parsers.XMLDocumentParser,1,5,4,0
Public Class,org.apache.xerces.parsers.XMLGrammarCachingConfiguration,1,19,13,89
Public Class,org.apache.xerces.parsers.XMLGrammarPreparser,1,20,17,86
Public Class,org.apache.xerces.parsers.XPointerParserConfiguration,1,17,7,78
Public Class,org.apache.xerces.util.AttributesProxy,3,8,22,0
Public Class,org.apache.xerces.util.AugmentationsImpl,2,4,6,0
Public Class,org.apache.xerces.util.DOMEntityResolverWrapper,2,11,6,72
Public Class,org.apache.xerces.util.DOMErrorHandlerWrapper,3,13,9,68
Public Class,org.apache.xerces.util.DOMInputSource,1,4,6,33
Public Class,org.apache.xerces.util.DOMUtil,1,20,50,0
Public Class,org.apache.xerces.util.DatatypeMessageFormatter,1,8,1,0
Public Class,org.apache.xerces.util.DefaultErrorHandler,2,6,6,66
Public Class,org.apache.xerces.util.EncodingMap,1,2,7,57
Public Class,org.apache.xerces.util.EntityResolver2Wrapper,2,13,7,42
Public Class,org.apache.xerces.util.EntityResolverWrapper,2,11,5,40
Public Class,org.apache.xerces.util.ErrorHandlerWrapper,2,8,10,50
Public Class,org.apache.xerces.util.HTTPInputSource,1,8,9,72
Public Class,org.apache.xerces.util.IntStack,1,2,8,25
Public Class,org.apache.xerces.util.JAXPNamespaceContextWrapper,2,6,16,75
Public Class,org.apache.xerces.util.LocatorProxy,2,2,7,0
Public Class,org.apache.xerces.util.NamespaceSupport,2,5,12,51
Public Class,org.apache.xerces.util.ParserConfigurationSettings,2,6,10,75
Public Class,org.apache.xerces.util.SAXInputSource,1,5,12,54
Public Class,org.apache.xerces.util.SAXLocatorWrapper,2,3,12,62
Public Class,org.apache.xerces.util.SAXMessageFormatter,1,8,1,0
Public Class,org.apache.xerces.util.SecurityManager,1,0,5,60
Public Class,org.apache.xerces.util.ShadowedSymbolTable,1,1,5,0
Public Class,org.apache.xerces.util.SymbolHash,1,1,9,29
Public Class,org.apache.xerces.util.SymbolTable,1,4,10,63
Public Class,org.apache.xerces.util.SynchronizedSymbolTable,1,1,7,0
Public Class,org.apache.xerces.util.URI,2,5,58,93
Public Class,org.apache.xerces.util.XML11Char,1,3,14,86
Public Class,org.apache.xerces.util.XMLAttributesImpl,2,5,47,81
Public Class,org.apache.xerces.util.XMLCatalogResolver,4,13,22,84
Public Class,org.apache.xerces.util.XMLChar,1,2,21,91
Public Class,org.apache.xerces.util.XMLEntityDescriptionImpl,2,2,10,40
Public Class,org.apache.xerces.util.XMLGrammarPoolImpl,2,6,14,70
Public Class,org.apache.xerces.util.XMLResourceIdentifierImpl,2,2,18,66
Public Class,org.apache.xerces.util.XMLStringBuffer,1,2,11,63
Public Class,org.apache.xerces.util.XMLSymbols,1,1,1,100
Public Class,org.apache.xerces.xinclude.MultipleScopeNamespaceSupport,1,5,13,23
Public Class,org.apache.xerces.xinclude.XInclude11TextReader,1,4,2,0
Public Class,org.apache.xerces.xinclude.XIncludeHandler,4,56,114,97
Public Class,org.apache.xerces.xinclude.XIncludeMessageFormatter,2,7,1,33
Public Class,org.apache.xerces.xinclude.XIncludeNamespaceSupport,1,2,5,40
Public Class,org.apache.xerces.xinclude.XIncludeTextReader,1,27,11,74
Public Class,org.apache.xerces.xni.QName,2,2,10,44
Public Class,org.apache.xerces.xni.XMLString,1,1,9,33
Public Class,org.apache.xerces.xni.XNIException,1,1,4,62
Public Class,org.apache.xerces.xni.parser.XMLConfigurationException,1,1,4,70
Public Class,org.apache.xerces.xni.parser.XMLInputSource,1,4,16,70
Public Class,org.apache.xerces.xni.parser.XMLParseException,1,3,10,65
Public Class,org.apache.xerces.xpointer.XPointerHandler,2,23,24,85
Public Class,org.apache.xerces.xs.XSException,1,1,1,75
Public Class,org.apache.xml.serialize.DOMSerializerImpl,3,56,21,83
Public Class,org.apache.xml.serialize.ElementState,1,2,0,0
Public Class,org.apache.xml.serialize.EncodingInfo,1,12,6,72
Public Class,org.apache.xml.serialize.Encodings,1,6,1,16
Public Class,org.apache.xml.serialize.HTMLSerializer,1,22,18,79
Public Class,org.apache.xml.serialize.HTMLdtd,1,12,16,93
